gene,mean_exprs,type_border,bs
gene_46,1.5339366516666668,b_TRUE,NA
gene_46,1.486486486,a_FALSE,2.47860842
gene_46,4.601809955,b_FALSE,3.094386046
gene_47,0.7023809523333333,a_TRUE,NA
gene_47,2.9092261903333334,b_TRUE,NA
gene_47,2.107142857,a_FALSE,2.499831684
gene_47,8.727678571,b_FALSE,8.59590301
gene_48,0.9788617886666667,a_TRUE,NA
gene_48,2.216216216333333,b_TRUE,NA
gene_48,2.936585366,a_FALSE,4.167813851
gene_48,6.648648649,b_FALSE,10.11379619
gene_49,0.611620795,a_TRUE,NA
gene_49,1.968553459,b_TRUE,NA
gene_49,1.834862385,a_FALSE,27.2687067
gene_49,5.905660377,b_FALSE,7.547900021
gene_5,1.4546925566666669,a_TRUE,NA
gene_5,1.388379205,b_TRUE,NA
gene_5,4.36407767,a_FALSE,3.896500848
gene_5,4.165137615,b_FALSE,4.642552514
gene_50,5.132132133333333,a_TRUE,NA
gene_50,0.9489633173333334,b_TRUE,NA
gene_50,15.3963964,a_FALSE,17.28761445
gene_50,2.846889952,b_FALSE,2.357168359
gene_51,0.40519877666666665,a_TRUE,NA
gene_51,0.5129449836666666,b_TRUE,NA
gene_51,1.21559633,a_FALSE,3.922472586
gene_51,1.538834951,b_FALSE,3.467976442
gene_52,0.71875,a_TRUE,NA
gene_52,0.6040688576666667,b_TRUE,NA
gene_52,2.15625,a_FALSE,1.247359178
gene_52,1.812206573,b_FALSE,2.271860408
