gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Ddr1,3.447488584,5.582532941,7.88448471,3.86972774
Ddr2,6.976958525,4.290729266,5.46418967,3.74189837
Ddrgk1,2.458128079,6.953670178,10.04580361,4.76138622
Ddx1,6.351351351,5.366554454,8.91691061,4.61002753
Ddx17,3.947619048,3.370019553,4.17735635,2.73032293
Ddx18,1.516129032,1.305180667,1.73825873,0.96847455
Ddx21,3.081339713,8.910914209,12.14176743,6.44034203
Ddx24,4.65470852,9.489879409,14.15652696,6.1629752
Ddx27,1.544186047,3.334472611,6.05921411,1.72099846
Ddx39,7.447004608,8.970604767,11.89745216,6.5146857
Ddx41,2.085972851,2.897616168,3.71348455,2.27741849
Ddx42,1.235632184,4.140016838,5.87026719,2.98570549
Ddx46,2.45971564,4.078564142,5.22758804,3.22101008
Ddx47,3.9,3.815935231,5.48472818,2.80030518
Ddx50,1.623188406,2.455128311,3.24351581,1.86705266
Ddx52,1.009433962,1.244145814,1.72973468,0.88865015
Ddx54,1.535353535,2.432848362,3.11331246,1.76742235
Ddx56,2.593607306,5.107933251,7.58038736,3.48562763
Decr1,1.408071749,3.498857099,6.48481856,1.86904253
Dek,4.578475336,7.786184828,9.49032048,6.31689429
Dennd5a,1.868421053,29.19252576,49.51889327,17.69203816
Denr,6.15,56.77972905,83.20749104,39.17135242
Derl1,3.6,2.673810278,3.35429232,2.02971216
Derl2,6.529147982,6.072807684,8.90223561,3.97452438
Dffa,1.232876712,2.11365153,2.83951375,1.5808675700000001
Dgcr14,1.204188482,4.491798673,6.2822352,3.25079063
Dgcr2,1.676056338,1.961859754,3.41639557,1.28076589
Dhcr24,1.606481481,1.557490606,2.0535016,1.17016
Dhcr7,1.827906977,2.617853028,3.46205487,2.06937053
Dhdds,1.129807692,3.205813641,5.33046921,1.81215393
Dhodh,1.307692308,2.694579084,3.59918408,2.03580704
Dhrs1,3.483253589,8.921271755,12.44966227,6.33587118
Dhrs3,5.421524664,4.732786421,5.47509984,3.77700522
Dhrs4,1.591743119,5.667033708,10.07575762,3.26041286
Dhrs7,3.506912442,6.542605901,8.71804728,4.91957671
Dhrs7b,1.25,2.440532743,3.2190168,1.81482621
Dhx15,2.61,3.22070494,4.12343876,2.48523906
Dhx30,2.768181818,3.668120902,4.74056587,3.00394329
Dhx32,1.481651376,4.450564534,6.46645854,2.97662696
Dhx8,1.159793814,8.570450889,23.40968197,4.31060521
Dhx9,2.045801527,10.43230298,15.50355593,6.95581432
Diablo,2.232227488,4.86488581,7.81727145,3.03251324
Dicer1,1.183333333,4.796877779,8.46394866,2.71758363
Dido1,1.009389671,1.231039145,3.56276917,0.74547073
Dio3,6.708333333,39.94504529,53.95405189,30.83920757
Dio3os,2.721973094,11.67080997,15.64049025,8.68151556
Dirc2,1.389423077,2.827970443,3.7765083,2.13820702
Dis3,1.07239819,1.181137026,1.61541274,0.8490826
Dkk2,3.014150943,16.49114801,22.51213735,12.3698533
Dkk3,8.403669725,12.81859498,15.49306438,10.25749129
Dlat,2.013513514,1.642744532,2.13167538,1.26065246
Dlc1,1.875,63.58118964,145.90790047,29.50581442
Dld,2.990990991,2.553334906,3.22181628,1.93916016
Dlg1,2.485436893,2.217950103,2.57557215,1.58515904
Dlg5,9.865470852,5.415521508,6.42507334,4.55163322
Dlgap4,2.15,7.4380413,11.35599345,4.79168637
Dlst,2.776255708,3.12473588,5.2305367,2.0210113
Dmpk,3.7,14.04214502,19.71101588,11.25174194
Dnaja1,1.269230769,52.1469612,207.0004719,15.55218584
Dnaja2,5.154545455,3.632202834,4.4747232,2.98766202
Dnajb1,2.171428571,2.503991887,3.26602008,1.93323897
Dnajb11,4.679069767,8.012356839,11.18129407,5.56332159
Dnajb12,1.388349515,2.741484625,4.45971691,1.7487979
Dnajb2,1.308056872,5.000411108,9.55250399,2.75598278
Dnajb4,1.539534884,1.550944608,2.05232332,1.1686482
Dnajc1,3.811926606,5.493046714,7.8097305,3.77245815
Dnajc10,5.559090909,6.28379271,9.23077566,4.02902521
Dnajc11,1.858490566,2.489320206,3.23764027,1.92498649
